,AGO,ALB,AND,ANT,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,YEM,YUG,ZAF,ZMB,ZWE
GIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
GMB,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,2,0,2,0,0,76,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,20,0,0,0,0,2,0,0,0,4,0,0
GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
GNQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRC,0,2,0,0,0,18,12,20,194,0,0,210,0,2,0,82,0,0,0,6,0,0,0,88,0,0,0,0,0,162,278,4,64,0,0,0,0,0,0,0,0,0,0,32,108,780,2,204,0,12,2,12,0,292,16,0,110,0,714,0,0,1140,4,0,0,2,0,0,0,2,0,0,0,0,0,26,0,56,4,14,42,0,2,8,64,508,0,2,98,0,0,0,0,0,4,0,0,4,0,0,0,0,0,10,8,6,8,2,2,0,0,12,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,276,140,0,4,4,4,0,2,2,0,0,162,0,146,0,0,0,64,202,0,0,0,2,4,0,0,0,0,0,0,0,0,96,86,202,0,0,0,2,0,0,0,0,0,2,0,18,6,2,0,64,8,1122,0,0,0,0,0,0,0,28,24,0,0
GRD,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
GRL,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
GTM,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,6,0,0,0,12,0,0,0,0,2,0,0,2,0,0,0,0,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,4,0,0,0,0,2,2,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,72,0,0,0,2,2,0,0,0,2,0,0
GUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0
HND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
HRV,0,0,0,0,0,0,0,26,56,0,0,22,0,0,0,12,0,0,10,2,0,0,0,2,0,0,0,0,0,22,54,2,8,2,0,0,2,0,0,0,0,0,0,0,14,208,0,16,0,0,0,2,0,24,6,0,12,0,90,0,0,84,4,0,0,0,0,0,26,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,16,92,0,0,26,0,2,0,0,0,6,0,0,0,0,0,0,2,0,2,2,2,2,0,0,0,0,6,0,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,6,0,0,0,0,0,2,6,0,0,28,0,4,0,0,0,6,42,0,0,0,0,8,0,0,0,0,0,0,0,0,14,110,34,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,10,2,226,0,0,0,0,2,0,0,6,10,0,0
HTI,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
HUN,0,0,0,0,12,26,0,70,222,2,0,192,0,0,0,96,2,0,0,4,0,0,0,36,0,0,0,0,0,238,276,8,100,0,0,0,0,0,6,0,0,0,0,58,68,1058,0,94,0,0,0,20,0,208,6,2,186,0,564,0,0,598,0,0,0,0,0,0,56,0,0,0,0,0,0,38,0,0,0,110,38,6,0,8,120,420,0,2,358,0,2,0,0,0,88,6,0,0,4,0,6,0,0,8,6,6,2,0,2,0,0,28,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,42,0,8,0,2,0,4,2,0,0,188,0,46,0,0,0,136,222,0,4,0,0,8,0,0,0,0,0,0,0,0,54,24,226,0,0,2,0,0,2,0,0,0,0,2,8,64,0,0,30,4,1492,0,0,0,4,6,0,0,20,28,0,0
IDN,0,0,0,0,0,2,0,152,6,0,0,8,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,12,2,8,8,2,0,0,0,4,0,0,2,0,0,2,58,0,6,0,0,2,4,0,2,0,0,0,0,76,0,0,80,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,8,2,0,0,0,2,14,2,0,188,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0,0,66,2,0,10,0,6,0,2,20,0,10,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,12,0,0,0,2,0,2,2,2,0,0,0,194,0,0,0,0,12,2,0,0,4,0,0
IND,0,0,0,0,2,52,0,214,54,0,0,86,0,0,54,70,2,0,0,6,0,0,0,108,2,0,2,2,0,284,152,20,244,2,2,0,0,0,42,0,0,2,4,58,48,898,0,54,0,0,38,22,0,152,4,2,76,0,490,0,0,804,2,4,0,0,0,0,14,0,0,4,0,0,0,0,0,110,8,0,26,18,0,0,70,298,2,4,560,2,8,0,0,0,138,18,2,2,0,0,0,10,0,2,0,0,8,0,0,0,0,92,0,18,10,0,0,0,0,0,0,6,2,60,0,0,2,18,0,194,26,18,16,4,14,2,10,42,0,2,106,0,18,0,0,0,64,176,0,12,2,0,94,0,0,0,0,0,0,0,0,6,6,100,0,0,0,0,0,42,0,0,0,4,6,12,142,6,0,12,0,2262,6,0,0,8,10,0,10,4,54,4,8
IRL,0,0,0,0,2,2,0,88,52,0,0,118,0,0,6,6,4,0,0,2,0,0,0,22,0,0,0,0,0,104,76,0,26,0,0,0,0,0,0,0,0,0,0,2,10,342,0,74,0,0,0,2,0,102,4,4,74,0,256,0,0,1216,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,38,2,26,0,0,2,6,16,178,0,8,36,0,4,0,0,0,6,2,0,0,0,0,0,2,0,6,6,2,0,0,0,0,0,12,0,18,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,160,70,0,26,0,0,0,2,0,0,0,30,0,46,0,0,0,8,54,0,2,0,0,52,0,0,0,0,0,0,0,0,2,4,134,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0,2,6,516,0,0,0,0,0,0,0,4,20,0,0
IRN,0,0,0,0,2,0,0,52,12,8,0,4,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,128,14,0,8,0,0,0,0,0,0,0,0,0,0,6,6,42,0,6,0,0,0,2,0,6,0,0,2,0,46,0,0,164,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,18,0,0,0,0,2,28,0,0,46,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,2,0,6,0,0,4,0,0,6,0,4,0,0,0,0,22,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,18,0,0,0,0,0,0,0,0,0,0,2,16,8,2,0,8,0,136,0,0,0,2,0,0,0,4,4,0,2
IRQ,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,4,2,0,0,0,2,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0
ISL,0,0,0,0,0,2,0,12,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,8,8,2,2,0,0,0,0,0,6,0,0,0,0,0,8,34,0,74,0,0,0,4,0,10,2,0,34,0,28,0,0,84,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,4,12,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,80,0,2,0,0,0,0,0,0,0,6,0,12,0,0,0,6,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,144,0,0,0,0,0,0,0,2,0,0,0
ISR,0,0,0,0,4,28,6,192,80,2,0,140,0,0,0,22,0,0,0,12,0,0,6,96,0,0,0,0,0,488,282,34,136,0,0,0,0,0,8,0,0,4,0,4,40,1354,0,98,4,0,0,14,0,198,4,2,92,4,692,0,0,858,2,2,0,0,0,0,64,0,0,2,0,0,0,16,0,120,2,70,16,2,2,4,0,550,0,14,354,6,10,0,0,0,56,0,0,0,0,0,0,0,0,4,0,2,6,0,8,0,0,34,0,0,2,2,0,0,0,0,0,0,0,0,6,4,0,2,0,288,48,0,20,0,4,0,8,4,0,0,194,0,34,0,10,0,18,356,0,2,2,0,26,2,0,0,0,0,0,0,0,14,24,140,0,0,0,0,0,14,2,2,2,0,0,70,32,4,0,74,0,4186,4,0,0,8,2,4,0,8,60,2,8
ITA,0,14,0,0,4,242,56,512,752,2,0,1014,2,14,8,188,0,0,2,70,0,0,4,506,4,0,0,4,0,1080,2054,82,464,6,14,0,0,0,24,0,0,12,54,90,378,4228,0,710,8,28,2,58,0,2114,32,10,564,2,4248,4,2,4740,28,6,0,2,0,0,508,0,0,2,0,0,0,92,0,420,14,298,178,28,2,12,550,0,0,12,1022,12,22,0,0,0,210,0,0,16,0,0,0,0,0,48,20,18,82,12,12,4,0,194,0,8,6,6,0,0,0,4,0,0,0,6,0,12,0,24,0,1840,304,0,90,4,18,2,10,8,0,0,748,0,400,0,0,0,302,1380,0,14,10,6,20,0,0,2,4,0,0,2,0,214,212,1100,0,0,2,0,2,14,0,0,0,0,14,142,142,16,10,144,30,8352,8,2,0,58,10,0,0,58,108,2,2
JAM,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,2,0,2,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,40,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,48,0,0,0,0,2,0,0,0,0,0,0
JOR,0,0,0,0,20,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,44,0,0,0,0,0,10,0,2,0,0,4,0,24,0,0,62,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,4,8,0,2,0,14,12,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,2,4,4,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0
JPN,0,0,0,0,4,76,30,972,230,10,0,394,2,0,72,62,0,0,2,50,0,0,4,246,0,0,0,2,0,1560,706,36,2234,4,4,2,6,0,22,0,0,10,8,6,296,2806,0,282,0,6,0,136,0,444,18,6,302,0,1722,0,0,2758,16,16,0,4,0,0,98,0,2,6,0,0,0,26,0,358,188,560,36,46,0,24,354,1022,0,2,0,22,18,2,6,0,1332,4,6,4,0,0,0,18,0,18,2,14,36,0,4,6,0,132,0,8,0,0,14,16,0,0,0,0,2,86,0,8,0,18,0,718,152,16,134,8,22,2,10,116,0,0,494,0,70,2,0,0,82,1290,0,24,2,0,172,2,0,0,0,0,0,0,0,114,52,720,0,0,8,0,0,326,0,0,0,0,0,104,422,10,2,120,8,12650,24,0,0,12,86,2,0,36,94,4,2
KAZ,0,0,0,0,0,0,0,2,2,2,0,4,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,4,2,4,2,0,0,0,0,0,0,0,0,0,0,0,4,16,0,4,0,0,0,0,0,2,0,0,0,0,12,0,0,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,12,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,4,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,10,0,32,0,0,0,0,0,0,0,0,2,0,0
KEN,0,0,0,0,0,0,0,22,6,0,0,40,4,6,4,0,0,0,0,0,0,0,2,10,0,0,0,2,0,50,36,0,18,4,6,0,2,0,2,0,0,2,0,0,4,46,0,14,0,0,4,4,0,4,0,16,6,0,24,0,0,250,0,10,0,2,0,0,0,0,0,0,0,0,0,2,0,2,2,8,4,2,0,0,10,22,0,0,18,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,2,12,0,36,2,0,0,0,0,2,0,6,0,4,2,0,0,0,0,0,0,2,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,10,0,0,0,6,0,0,0,20,12,4,0,254,0,0,0,2,6,0,0,0,22,6,10
KGZ,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,12,14,0,0,0,0,0,0,0,0,0,0
KHM,0,0,0,0,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
KNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
KOR,0,0,0,0,2,44,4,130,12,0,0,32,0,0,2,56,0,0,0,12,0,2,0,58,0,0,0,0,0,378,144,6,464,0,0,0,0,0,44,0,0,0,0,56,28,432,0,30,2,0,34,10,0,180,0,0,80,2,276,0,0,430,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,88,4,138,6,2,0,0,56,210,0,0,1332,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,48,0,2,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,130,2,4,16,0,4,0,2,6,0,0,140,0,12,0,0,0,70,348,0,0,0,0,44,0,0,0,0,0,0,0,0,4,8,46,0,0,0,0,0,26,0,0,0,0,2,12,186,0,0,30,2,3872,10,0,0,0,12,0,0,2,14,0,0
KWT,0,0,0,0,16,0,0,18,4,0,0,4,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,34,2,0,6,0,0,0,0,0,0,0,0,0,0,0,2,28,0,6,0,0,0,44,0,4,0,0,22,0,10,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,18,2,2,0,0,0,0,0,0,4,0,2,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,8,12,0,0,4,2,0,0,0,0,0,6,0,0,0,0,0,4,0,0,6,0,0,16,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,76,0,0,0,8,0,0,0,0,2,0,0
LAO,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
