,ABW,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TGO,THA,TJK,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
GIN,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
GRC,0,0,0,1,0,0,5,3,0,0,23,12,1,0,18,0,0,0,3,0,0,1,0,0,0,0,6,0,0,0,0,0,20,11,3,9,1,1,0,0,1,0,0,0,0,33,5,55,5,0,0,0,0,0,41,3,0,17,0,30,0,0,208,2,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,7,14,1,0,3,9,59,0,0,4,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,5,1,1,0,0,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,42,12,0,7,0,1,0,1,1,0,7,18,0,0,0,9,3,0,1,0,0,4,0,0,0,0,0,6,0,5,5,15,0,0,0,0,0,3,0,0,3,14,2,0,0,2,0,104,0,0,0,0,0,0,0,0,0,8,0,0
GRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GTM,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,4,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0
GUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
HND,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
HRV,0,0,0,4,0,0,0,1,0,0,7,8,0,0,6,0,0,0,5,0,0,12,0,0,0,0,4,0,0,0,0,0,3,4,1,5,0,0,0,0,1,0,0,0,0,1,14,18,3,0,0,0,0,0,12,6,0,6,0,7,0,0,38,0,0,0,0,0,7,0,0,0,0,0,0,0,0,16,0,0,8,2,0,1,2,11,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,5,1,4,0,0,0,0,1,7,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,15,5,0,2,0,1,0,1,0,0,16,9,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,12,0,10,19,4,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,37,0,0,0,0,1,0,0,1,0,0,0,0
HTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
HUN,0,0,0,0,0,0,1,3,0,0,13,22,0,0,15,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,10,8,1,5,0,0,0,0,2,0,0,0,0,1,21,49,8,0,0,0,1,0,27,9,1,13,0,23,0,0,91,1,0,0,0,0,4,0,0,0,0,0,0,16,0,0,0,2,8,1,0,1,5,28,0,1,5,0,0,0,0,0,0,1,1,0,3,0,0,1,0,0,2,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,30,7,0,3,1,0,0,0,2,0,23,7,0,0,1,19,3,0,2,0,0,3,0,0,0,0,0,5,0,15,14,15,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,83,0,0,0,0,1,0,0,0,0,1,0,0
IDN,0,0,0,0,0,0,2,1,0,0,67,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,2,0,10,3,1,10,0,2,0,0,0,0,0,0,0,0,0,13,5,0,0,0,1,0,6,0,0,2,1,3,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,51,0,6,0,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,22,0,0,0,0,0,28,8,0,4,0,0,0,3,3,1,1,1,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,1,9,0,0,0,0,33,0,0,0,0,4,1,0,0,0,3,0,0
IND,0,0,0,0,0,0,3,2,0,0,84,15,0,0,9,0,0,1,1,0,0,0,0,0,0,0,14,1,0,0,1,0,57,52,15,48,1,1,0,0,3,0,1,1,0,1,1,73,9,0,0,1,1,0,11,0,4,8,3,50,0,0,246,0,5,0,0,0,7,0,0,0,0,0,0,0,0,2,5,0,9,7,1,0,8,36,1,0,41,2,3,0,1,0,0,29,3,2,3,1,0,0,3,0,1,1,1,0,0,0,0,7,0,0,0,2,0,0,0,0,1,0,16,0,0,0,13,0,78,8,4,12,0,7,0,2,7,0,2,7,0,1,2,9,6,0,7,1,0,25,0,1,0,0,0,1,0,1,2,22,0,0,0,0,0,32,0,2,0,15,7,1,3,0,0,482,0,0,0,2,3,0,0,0,0,31,2,0
IRL,0,0,0,0,0,0,0,1,0,0,54,11,0,0,31,0,0,0,1,0,0,1,0,0,0,0,8,0,0,0,0,0,53,17,4,23,1,1,0,0,4,0,0,0,0,6,9,56,19,0,0,1,1,0,50,13,1,21,2,38,1,0,413,0,0,0,0,0,14,0,0,0,0,0,0,8,0,8,0,9,0,0,0,4,8,36,0,0,9,0,1,0,0,0,0,7,0,0,1,0,0,1,1,1,2,3,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,12,0,0,0,2,0,56,19,0,18,0,2,0,1,2,0,7,13,0,0,1,6,6,0,0,0,0,1,0,0,0,0,0,2,0,3,11,22,0,0,0,0,0,4,0,1,0,7,1,0,0,0,0,173,0,0,0,0,0,0,0,0,0,5,0,0
IRN,0,0,0,0,0,0,2,1,1,0,28,2,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,17,9,1,3,0,0,0,0,0,0,0,0,0,2,2,15,4,0,0,0,1,0,7,1,0,4,0,9,0,0,33,0,2,0,0,1,1,0,0,1,0,0,0,2,0,1,0,7,0,0,0,0,1,15,0,0,4,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43,1,0,0,2,0,13,3,0,1,0,1,0,2,0,0,2,4,0,0,0,3,2,0,1,0,0,3,0,0,0,0,0,2,0,1,0,5,0,0,0,0,0,9,1,0,0,9,3,0,1,0,0,55,0,0,0,0,0,0,0,0,1,3,0,0
IRQ,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,4,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,2,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,0,0,4,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,5,0,0,4,0,1,0,1,0,0,1,4,0,0,0,5,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0
ISL,0,0,0,0,0,0,1,0,0,0,1,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,5,11,0,0,0,0,0,4,1,0,4,0,2,0,0,23,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,1,0,1,0,0,1,0,3,2,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
ISR,0,0,0,0,0,0,1,1,0,0,31,14,0,0,21,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,57,27,4,21,0,1,0,0,6,0,1,0,0,3,2,93,5,0,0,0,1,0,32,7,0,9,0,44,0,0,136,0,0,0,0,0,9,0,0,0,0,0,0,2,0,5,0,8,8,1,4,1,0,52,0,2,13,0,2,0,0,0,0,7,0,0,5,0,0,1,1,0,2,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,59,11,0,10,0,3,0,2,1,0,7,18,0,3,0,10,13,0,0,0,0,10,0,0,0,0,0,1,0,1,7,15,0,0,0,0,0,2,0,1,0,18,5,0,0,1,1,526,0,0,0,0,1,0,0,0,0,6,0,0
ITA,0,0,0,2,0,0,2,14,0,0,137,94,0,0,187,0,0,0,10,0,0,1,1,0,0,1,40,0,0,0,0,0,151,159,22,58,0,3,0,0,17,0,2,3,0,9,34,382,58,0,0,2,2,1,284,13,3,75,0,313,0,0,759,2,2,0,1,0,59,0,0,1,0,0,1,11,0,28,0,36,36,15,3,4,52,0,0,3,44,1,7,0,0,0,1,10,1,0,11,0,0,3,1,0,14,19,7,3,0,0,0,15,4,0,18,0,1,0,0,0,1,2,6,1,1,0,3,0,251,54,0,53,3,5,0,4,6,0,44,63,0,0,7,27,23,0,6,0,1,12,0,1,0,1,0,11,0,5,19,98,0,0,0,0,0,8,0,0,6,28,1,1,2,4,1,828,0,0,0,1,4,0,0,0,0,25,0,0
JAM,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,18,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,1,0,1,0,0,27,0,0,0,1,0,0,0,0,0,1,0,0
JOR,0,0,0,0,0,0,4,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,28,0,2,0,0,0,0,2,0,0,0,0,0,0,30,0,0,1,0,30,0,1,1,0,1,0,1,0,0,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,3,0,0,0,0,1,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,33,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,27,0,0
JPN,0,0,0,0,0,0,3,9,0,0,115,15,0,0,43,0,1,7,7,0,0,0,0,0,0,3,19,0,0,0,1,0,91,45,6,142,0,1,0,0,13,0,0,2,0,0,1,79,7,0,0,0,5,0,32,2,3,11,0,53,0,0,167,0,2,0,0,0,4,0,0,1,0,0,0,3,0,5,51,41,9,4,4,0,13,44,1,0,0,0,5,0,0,0,0,46,2,0,6,0,1,0,4,0,2,2,0,0,0,0,1,23,1,0,2,1,0,0,0,0,0,0,37,0,0,0,5,0,59,14,0,24,0,3,0,4,16,0,6,13,0,0,2,9,10,2,1,0,0,35,0,0,0,0,0,3,0,1,2,19,0,0,1,0,0,22,1,0,1,7,31,4,3,0,0,435,0,0,0,3,8,0,0,0,0,9,0,1
KAZ,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,5,0,0,0,0,0,0,0,1,0,0,1,6,1,0,0,0,0,0,3,0,0,1,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,26,0,0,0,0,0,0,0,0,0,1,0,0
KEN,0,0,0,0,0,0,0,0,0,0,13,4,0,1,5,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,4,0,23,9,3,11,0,4,0,1,4,0,1,0,0,0,1,9,4,0,0,1,1,0,5,0,11,2,0,6,0,0,36,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,6,3,1,1,0,0,2,7,0,3,5,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1,2,0,0,7,0,14,3,0,5,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,10,1,1,0,0,0,3,0,0,1,2,0,6,7,0,0,101,0,0,0,0,2,0,0,0,0,29,4,3
KGZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
KHM,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0
KIR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
KNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
KOR,0,1,0,0,0,0,2,3,0,0,72,5,0,0,14,0,0,0,1,0,0,0,1,0,0,0,8,0,0,0,0,0,56,22,1,95,0,0,0,0,2,0,0,0,0,0,4,50,3,0,0,0,1,0,7,4,0,7,2,29,0,0,109,0,0,0,0,0,5,0,0,0,0,0,0,2,0,1,6,29,7,3,0,0,7,10,0,1,46,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0,1,1,0,0,0,0,0,16,0,0,1,0,0,0,0,0,0,1,16,0,0,0,1,0,16,15,0,16,0,2,0,1,9,0,4,7,0,0,2,1,4,0,1,1,0,39,0,0,0,0,0,2,0,1,1,8,0,0,0,0,0,8,0,0,4,6,25,5,1,0,0,809,0,0,0,0,2,0,0,0,0,5,0,0
KWT,0,0,0,0,0,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,6,1,0,3,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,1,1,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,2,1,2,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0
LAO,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
LBN,0,0,0,0,0,0,1,1,0,0,7,3,0,0,7,0,0,0,6,0,0,0,0,0,0,0,8,0,0,0,2,0,7,5,1,7,0,0,0,0,7,0,0,1,0,1,0,7,0,0,0,0,2,0,8,1,1,1,2,14,0,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,4,0,5,11,0,4,6,2,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,2,1,0,0,4,0,11,1,0,5,1,1,0,1,1,2,2,5,0,0,3,7,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,6,0,0
LBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
